,TRIP_ID,CALL_TYPE,ORIGIN_CALL,ORIGIN_STAND,TAXI_ID,TIMESTAMP,DAY_TYPE,MISSING_DATA,POLYLINE
0,1399243165620000288,C,,,20000288,1399243165,A,False,"[[-8.593902, 41.139963], [-8.593938, 41.139936], [-8.593992, 41.13999], [-8.593947, 41.139945], [-8.592264, 41.140107], [-8.589789, 41.140485], [-8.587656, 41.142105], [-8.584785, 41.143644], [-8.581491, 41.143752], [-8.579367, 41.144112], [-8.577918, 41.144598], [-8.578224, 41.145345], [-8.579556, 41.146362], [-8.579736, 41.147784], [-8.578701, 41.149773], [-8.580357, 41.152275], [-8.582877, 41.155317], [-8.582193, 41.159331], [-8.581059, 41.162886], [-8.582787, 41.165973], [-8.586162, 41.166918], [-8.587512, 41.168268], [-8.586657, 41.170185], [-8.586567, 41.170356], [-8.585973, 41.171508], [-8.584506, 41.174469]]"
1655,1399276498620000330,A,13388.0,,20000330,1399276498,A,False,"[[-8.635131, 41.160105], [-8.635149, 41.160114], [-8.635941, 41.159844], [-8.636112, 41.160195], [-8.636823, 41.160978], [-8.637372, 41.161455], [-8.638668, 41.162508], [-8.638173, 41.163282], [-8.63739, 41.163768], [-8.636895, 41.164056], [-8.63685, 41.164038], [-8.636571, 41.164236], [-8.637921, 41.164704], [-8.639064, 41.165181], [-8.640288, 41.165829], [-8.640495, 41.166999], [-8.640072, 41.168538], [-8.638263, 41.169933], [-8.634978, 41.171319], [-8.630919, 41.172165], [-8.626995, 41.172912], [-8.622693, 41.173335], [-8.618364, 41.173758], [-8.614467, 41.174244], [-8.611281, 41.174307], [-8.608176, 41.173317], [-8.606304, 41.171769], [-8.606124, 41.17167], [-8.606124, 41.171679], [-8.606115, 41.171679], [-8.605323, 41.171229], [-8.604234, 41.171706], [-8.605386, 41.173047], [-8.60535, 41.173713], [-8.603289, 41.173713], [-8.601327, 41.173776], [-8.600166, 41.174361], [-8.600103, 41.174469], [-8.600103, 41.17446], [-8.600094, 41.174478], [-8.599842, 41.174667]]"
3300,1399297548620000589,B,,15.0,20000589,1399297548,A,False,"[[-8.585685, 41.14854], [-8.585685, 41.148531], [-8.585748, 41.148666], [-8.585766, 41.148936], [-8.58636, 41.148981], [-8.587395, 41.149179], [-8.587908, 41.149323], [-8.588457, 41.148414], [-8.588925, 41.147415], [-8.588133, 41.147316], [-8.587179, 41.147307], [-8.586684, 41.147154], [-8.585262, 41.146695], [-8.583552, 41.145624], [-8.581842, 41.144751], [-8.579691, 41.145543], [-8.579061, 41.145903], [-8.58006, 41.146749], [-8.579061, 41.14872], [-8.57898, 41.150916], [-8.581275, 41.153022], [-8.582994, 41.155767], [-8.582328, 41.159043], [-8.581032, 41.162445], [-8.582508, 41.16555], [-8.585667, 41.16681], [-8.588439, 41.167989], [-8.590302, 41.169069], [-8.592462, 41.170473], [-8.594469, 41.171967], [-8.594235, 41.174235]]"
4951,1399332567620000337,B,,47.0,20000337,1399332567,A,False,"[[-8.654742, 41.17356], [-8.654742, 41.173551], [-8.654742, 41.17356], [-8.654751, 41.173551], [-8.654751, 41.173551], [-8.65476, 41.173533], [-8.655039, 41.173146], [-8.654832, 41.173362], [-8.653338, 41.174982]]"
6601,1399361922620000005,A,31531.0,,20000005,1399361922,A,False,"[[-8.614134, 41.149314], [-8.61417, 41.149044], [-8.614422, 41.148], [-8.6148, 41.14746], [-8.614827, 41.14746], [-8.615691, 41.147244], [-8.61705, 41.147244], [-8.617743, 41.147172], [-8.617824, 41.14683], [-8.61777, 41.146614], [-8.617779, 41.146632], [-8.617779, 41.146623], [-8.617725, 41.146425], [-8.617428, 41.145129], [-8.617329, 41.14476], [-8.617842, 41.143824], [-8.617941, 41.143257], [-8.617302, 41.142663], [-8.616204, 41.142591], [-8.615403, 41.142735], [-8.615385, 41.142735], [-8.615385, 41.142717]]"
8250,1399340585620000297,C,,,20000297,1399340585,A,False,"[[-8.655516, 41.153355], [-8.655129, 41.153319], [-8.654796, 41.152329], [-8.654274, 41.152176], [-8.651826, 41.152401], [-8.650395, 41.153643], [-8.649801, 41.153895], [-8.647956, 41.154669], [-8.646138, 41.156271], [-8.645202, 41.157918], [-8.64576, 41.157162], [-8.647389, 41.158899], [-8.649198, 41.161374], [-8.647992, 41.164038], [-8.644752, 41.165586], [-8.641467, 41.167575], [-8.638425, 41.169825], [-8.634636, 41.171418], [-8.630433, 41.172291], [-8.626158, 41.17302], [-8.621613, 41.173443], [-8.617005, 41.173902], [-8.612523, 41.17446], [-8.608275, 41.173389], [-8.605314, 41.171193], [-8.605737, 41.169924], [-8.606529, 41.167674], [-8.607366, 41.16645], [-8.608374, 41.165595], [-8.6085, 41.164551], [-8.608509, 41.164533], [-8.608518, 41.164425], [-8.608941, 41.163039], [-8.60913, 41.162625], [-8.609139, 41.162643], [-8.609382, 41.16204], [-8.609535, 41.161626], [-8.609544, 41.161581], [-8.609877, 41.160627], [-8.609913, 41.159682], [-8.609958, 41.157882], [-8.609409, 41.157324], [-8.609346, 41.157324], [-8.609175, 41.157396], [-8.608635, 41.158404], [-8.608203, 41.159232]]"
9900,1399406750620000546,B,,60.0,20000546,1399406750,A,False,"[[-8.60949, 41.151222], [-8.609445, 41.15115], [-8.609445, 41.151546], [-8.609913, 41.152923], [-8.609517, 41.154282], [-8.609184, 41.155587], [-8.609274, 41.156712], [-8.609049, 41.157135], [-8.608806, 41.157882], [-8.607681, 41.160366], [-8.606322, 41.165253], [-8.606439, 41.168358], [-8.604801, 41.171139], [-8.605125, 41.172984], [-8.60751, 41.173371], [-8.610048, 41.174352], [-8.613846, 41.174568], [-8.61768, 41.173992], [-8.621154, 41.173623], [-8.624493, 41.173281], [-8.628264, 41.172858], [-8.632377, 41.171994], [-8.636364, 41.17104], [-8.640288, 41.168871], [-8.643114, 41.168205], [-8.645184, 41.169636], [-8.6481, 41.171904], [-8.651502, 41.174784]]"
11550,1399437048620000353,C,,,20000353,1399437438,A,False,"[[-8.650674, 41.17401], [-8.647317, 41.171292], [-8.644482, 41.169024], [-8.642232, 41.167206], [-8.640144, 41.165523], [-8.638254, 41.164569], [-8.63622, 41.164209], [-8.633547, 41.163273], [-8.632386, 41.162076], [-8.630559, 41.162922], [-8.628705, 41.163525], [-8.626041, 41.16339], [-8.623413, 41.163174], [-8.622216, 41.162895], [-8.622216, 41.16285], [-8.620839, 41.162724], [-8.617878, 41.162499], [-8.614431, 41.162103], [-8.611713, 41.161752], [-8.611614, 41.161743], [-8.61129, 41.161725], [-8.609679, 41.161392], [-8.609949, 41.159583], [-8.610075, 41.157153], [-8.610147, 41.155182], [-8.610111, 41.153247], [-8.610417, 41.151564], [-8.61102, 41.150682], [-8.610948, 41.150628], [-8.61093, 41.150583], [-8.611002, 41.150223], [-8.611182, 41.148477], [-8.611452, 41.146596], [-8.611038, 41.146047], [-8.61084, 41.144877], [-8.610156, 41.143221], [-8.607834, 41.142708], [-8.605404, 41.142816], [-8.605332, 41.142987], [-8.605197, 41.143293]]"
13200,1399461823620000697,B,,33.0,20000697,1399462303,A,False,"[[-8.600418, 41.175801], [-8.599932, 41.175009], [-8.599428, 41.174145], [-8.599329, 41.173929], [-8.599158, 41.173659], [-8.598438, 41.172435], [-8.597754, 41.171301], [-8.597457, 41.170554], [-8.597277, 41.169816], [-8.597286, 41.169816], [-8.59716, 41.169618], [-8.596458, 41.169591], [-8.596485, 41.169627], [-8.596467, 41.169636], [-8.596467, 41.169636], [-8.596449, 41.169609]]"
14850,1399481614620000224,C,,,20000224,1399481614,A,False,"[[-8.614584, 41.150655], [-8.61453, 41.151501], [-8.613972, 41.151834], [-8.613873, 41.152761], [-8.613684, 41.153535], [-8.612586, 41.153814], [-8.612199, 41.154246], [-8.612595, 41.155128], [-8.613171, 41.155173], [-8.613162, 41.155164], [-8.613432, 41.155308], [-8.613945, 41.155632], [-8.616591, 41.155857], [-8.617113, 41.155893], [-8.617491, 41.156073], [-8.618076, 41.157045], [-8.616969, 41.158098], [-8.617167, 41.15952], [-8.616492, 41.162085], [-8.616438, 41.162265], [-8.616348, 41.163156], [-8.617788, 41.163597], [-8.619984, 41.163876], [-8.620362, 41.16393], [-8.620353, 41.163921], [-8.620344, 41.163921], [-8.621721, 41.164101], [-8.624331, 41.164542], [-8.626689, 41.16474], [-8.626842, 41.164731], [-8.626833, 41.165667], [-8.626572, 41.166414], [-8.626581, 41.166396], [-8.626581, 41.166396], [-8.626572, 41.166405], [-8.626464, 41.166684], [-8.626419, 41.1669], [-8.627112, 41.166972], [-8.627823, 41.167215], [-8.627931, 41.167296], [-8.628705, 41.167647], [-8.630208, 41.168187], [-8.631495, 41.169078], [-8.632305, 41.170419], [-8.632989, 41.172435], [-8.633952, 41.174226], [-8.635284, 41.173983], [-8.637804, 41.173371], [-8.63964, 41.17302], [-8.640243, 41.17293], [-8.641926, 41.173254], [-8.643636, 41.174766], [-8.644824, 41.175909], [-8.644977, 41.175945], [-8.645094, 41.175873], [-8.645139, 41.175873]]"
